GEOID,actual_evictions,clf_pred_score,clf_pred_label,reg_pred_evictions
421010119002,18.0,0.9996403113763649,1.0,18.0
421010142002,18.0,0.9996575747096333,1.0,19.375
421010177022,18.0,0.9988541213549961,1.0,18.166666666666668
421010177023,18.0,0.9990956020925399,1.0,18.166666666666668
421010192005,17.0,0.9776787729118858,1.0,17.0
421010390007,17.0,0.9754421981552307,1.0,15.555555555555555
421010349002,17.0,0.9992713947238359,1.0,16.428571428571427
421010347012,17.0,0.8579084931834835,1.0,19.833333333333332
421010345023,17.0,0.9982140191653236,1.0,17.22222222222222
421010298002,17.0,0.9997314092838098,1.0,16.8
421010285001,17.0,0.999285464169448,1.0,18.0
421010148001,17.0,0.9995140170585117,1.0,15.125
421010192002,17.0,0.30720994021919035,1.0,21.0
421010108003,17.0,0.995641199256916,1.0,17.22222222222222
421010074004,17.0,0.9970787276287817,1.0,17.0
421010065006,17.0,0.9883960756242526,1.0,16.0
421010063003,17.0,0.9971382245720145,1.0,17.0
421010114005,17.0,0.39946121545893093,1.0,15.666666666666666
421010245001,16.0,0.9567165064628693,1.0,16.8
421019800001,16.0,0.9915806982737533,1.0,17.0
421010349003,16.0,0.9358639572701419,1.0,16.22222222222222
421010339002,16.0,0.9959658386256225,1.0,16.0
421010314014,16.0,0.16115184484025274,1.0,19.5
421010314011,16.0,0.9714144766018655,1.0,17.77777777777778
421010306007,16.0,0.9486969820960893,1.0,16.22222222222222
421010298001,16.0,,,19.5
421010291002,16.0,0.7585958971795901,1.0,16.428571428571427
421010283005,16.0,0.764277081995044,1.0,16.428571428571427
421010302004,16.0,0.3978809870101352,1.0,15.333333333333334
421010239002,16.0,0.9449440520428806,1.0,16.166666666666668
421010141001,16.0,0.974603029706441,1.0,16.0
421010238005,16.0,0.5558180061150105,1.0,
421010037014,16.0,0.8583609717762024,1.0,15.333333333333334
421010062004,16.0,0.9925037389346932,1.0,15.0
421010067006,16.0,0.7669696653216388,1.0,16.166666666666668
421010067004,16.0,0.9833018144621897,1.0,16.8
421010147002,16.0,0.9307305777938817,1.0,15.666666666666666
421010161002,16.0,0.985202209219458,1.0,16.0
421010179002,16.0,0.9659598489395484,1.0,16.0
421010180012,16.0,0.13889970464254645,1.0,15.166666666666666
421010152004,15.0,,,15.25
421010202004,15.0,,,
421010190004,15.0,0.0691320234460883,0.0,16.333333333333332
421010179005,15.0,,,15.0
421010170001,15.0,,,15.0
421010167013,15.0,0.08405616665360956,0.0,15.0
421010064003,15.0,0.05359473318359409,0.0,15.0
421010110002,15.0,0.05630014854491148,0.0,15.0
421010104003,15.0,,,15.0
421010094002,15.0,0.17457495575426768,0.0,15.571428571428571
421010093005,15.0,,,15.0
421010070003,15.0,,,15.25
421010004022,15.0,,,15.0
421010237001,15.0,,,
