GEOID,label
421010273003,1
421010301002,1
421010268001,1
421010346001,1
421010242002,1
421010353021,1
421010243002,1
421010373003,1
421010206001,1
421010348021,1
421010300007,1
421010276001,1
421010362011,1
421010377002,1
421010257001,1
421010270002,1
421010301001,1
421010086011,1
421010238004,1
421010307001,1
421010188007,1
421010201013,1
421010036003,1
421010293002,1
421010278002,1
421010305011,1
421010122031,1
421010268002,1
421010338002,1
421010337011,1
421010347021,1
421010279021,1
421010055003,1
421010293001,1
421010334004,1
421010140001,1
421010086022,1
421010239002,1
421010166001,1
421010067005,1
421010165003,1
421010201011,1
421010389001,1
421010122012,1
421010280002,1
421010239001,1
421010033001,1
421010083022,1
421010302001,1
421010139002,1
421010177011,1
421010151012,1
421010152002,1
421010147002,1
421010282001,1
421010361001,1
421010056001,1
421010188005,1
421010356022,1
421010389003,1
421010179004,1
421010325003,1
421010205001,1
421010238002,0
421010325004,1
421010283006,1
421010032006,1
421010294003,1
421010313004,1
421010291002,1
421010261003,1
421010177012,1
421010299001,1
421010208001,1
421010098021,1
421010254002,1
421010065006,1
421010054001,1
421010294002,1
421010151021,1
421010345022,1
421010121001,1
421010347012,1
421010085007,1
421010004011,1
421010119002,1
421010145001,1
421010300004,1
421010323003,1
421010203002,1
421010114005,1
421010298005,1
421010259001,1
421010347011,1
421010302004,1
421010349002,1
421010098023,0
421010321001,1
421010179002,1
421010110003,1
421010278004,1
421010375002,1
421010064003,1
421010357012,1
421010285001,1
421010105002,1
421010066003,1
421010333003,1
421010292001,1
421010188001,1
421010241001,1
421010161002,1
421010188004,1
421010309003,0
421010305013,1
421010267003,0
421010192004,1
421010148001,1
421010192005,1
421010178003,1
421010245004,1
421010092001,1
421010041022,1
421010153003,1
421010363021,1
421010098011,1
421010298004,1
421010246002,0
421010073001,1
421010203001,1
421010176021,1
421010094004,0
421010190004,1
421010133002,1
421010107004,1
421010330004,1
421010336003,1
421010107002,1
421010244001,1
421010252007,1
421010063004,1
421010173002,1
421010188003,0
421010243003,1
421010348022,1
421010240002,1
421010283004,1
421010329002,1
421010307003,1
421010083012,1
421010240004,0
421010167013,1
421010171001,0
421010192001,1
421010063001,1
421010202004,1
421010200002,1
421010103001,1
421010240001,0
421010349004,0
421010286001,1
421010095003,1
421010290003,0
421010305024,1
421010093005,1
421010382003,0
421010027012,0
421010243001,1
421010039014,0
421010311011,0
421010365011,0
421010245002,1
421010095004,1
421010093002,1
421010177024,1
421010218003,1
421010178002,0
421010202005,0
421010289025,0
421010167023,1
421010062002,1
421010074004,1
421010299003,1
421010111005,1
421010244003,0
421010363022,0
421010161004,0
