GEOID,pred_evictions
421010273003,91.25
421010373003,62.0
421010377002,53.857142857142854
421010346001,52.6
421010353021,52.6
421010243002,45.0
421010268001,45.0
421010122031,41.666666666666664
421010257001,41.666666666666664
421010270002,40.0
421010279021,38.333333333333336
421010307001,38.333333333333336
421010334004,38.333333333333336
421010345022,37.285714285714285
421010036003,37.0
421010301001,36.0
421010238004,34.857142857142854
421010242002,34.4
421010300007,34.4
421010033001,33.142857142857146
421010086011,32.166666666666664
421010145001,30.714285714285715
421010282001,30.714285714285715
421010301002,30.5
421010348021,30.5
421010362011,29.333333333333332
421010325004,29.0
421010151021,28.666666666666668
421010152002,28.666666666666668
421010206001,28.666666666666668
421010201013,27.333333333333332
421010305011,27.333333333333332
421010122012,26.5
421010119002,25.875
421010119004,25.875
421010285001,25.875
421010100001,25.666666666666668
421010243001,25.666666666666668
421010242004,25.5
421010389001,25.5
421010054001,25.22222222222222
421010083022,25.22222222222222
421010323003,25.22222222222222
421010179004,25.0
421010330004,24.5
421010357012,24.5
421010165003,24.333333333333332
421010239001,24.333333333333332
421010004011,24.125
421010056001,24.125
421010188007,24.125
421010293002,24.125
421010302001,24.125
421010337011,24.125
421010254002,23.833333333333332
421010261003,23.833333333333332
421010356022,23.833333333333332
421010066004,23.333333333333332
421010178007,22.714285714285715
421010142002,22.285714285714285
421010169023,22.285714285714285
421010208001,22.25
421010104003,22.0
421010067005,21.88888888888889
421010139002,21.88888888888889
421010151012,21.88888888888889
421010201011,21.333333333333332
421010321001,21.333333333333332
421010005001,21.2
421010105002,21.0
421010188001,21.0
421010293001,21.0
421010329004,21.0
421010055003,20.166666666666668
421010141001,20.166666666666668
421010201021,20.166666666666668
421010276001,20.166666666666668
421010278002,20.166666666666668
421010063004,20.0
421010086022,20.0
421010121001,20.0
421010200002,20.0
421010202006,20.0
421010218001,20.0
421010218003,20.0
421010278004,20.0
421010294002,20.0
421010361001,19.5
421010106002,19.4
421010114005,19.333333333333332
421010246002,19.25
421010300006,19.25
421010289023,19.2
421010085007,19.0
421010103001,19.0
421010107004,19.0
421010188003,19.0
421010239002,19.0
421010280001,19.0
421010309003,19.0
421010313004,19.0
421010098011,18.88888888888889
421010177012,18.88888888888889
421010153004,18.75
421010366001,18.75
421010345011,18.666666666666668
421010037013,18.444444444444443
421010147001,18.444444444444443
421010254003,18.444444444444443
421010065006,18.333333333333332
421010203002,18.333333333333332
421010280002,18.333333333333332
421010319004,18.333333333333332
421010073001,18.11111111111111
421010259001,18.11111111111111
421010299001,18.11111111111111
421010389003,18.11111111111111
421010063001,18.0
421010067006,18.0
421010094004,18.0
421010152004,18.0
421010179002,18.0
421010188005,18.0
421010237003,18.0
421010238002,18.0
421010243003,18.0
421010252004,18.0
421010333003,18.0
421010349004,18.0
421010357011,18.0
421019803001,18.0
421010140001,17.375
421010347021,17.375
421010258001,17.142857142857142
421010067004,17.0
421010084002,17.0
421010107002,17.0
421010173002,17.0
421010188004,17.0
421010216002,17.0
421010252007,17.0
421010312001,17.0
421010314022,17.0
421010305013,16.625
421010329002,16.625
421010365012,16.571428571428573
421010169013,16.22222222222222
421010312003,16.22222222222222
421010331021,16.22222222222222
421010363022,16.22222222222222
421019800001,16.22222222222222
421010032006,16.0
421010066003,16.0
421010161002,16.0
421010167023,16.0
421010178002,16.0
421010178003,16.0
421010190004,16.0
421010284002,16.0
421010298005,16.0
421010302004,16.0
421010313002,16.0
421010361003,16.0
421010345012,15.6
421010153003,15.571428571428571
421010147002,15.375
421010268002,15.375
421010114001,15.25
421010300004,15.25
421010007002,15.0
421010064001,15.0
421010074004,15.0
421010085002,15.0
421010094002,15.0
421010095004,15.0
421010174002,15.0
421010178001,15.0
421010192001,15.0
421010192004,15.0
421010244003,15.0
421010302003,15.0
421010329001,15.0
421010339002,15.0
421010349003,15.0
421010064003,14.666666666666666
421010177011,14.666666666666666
421010291002,14.666666666666666
