GEOID,label
421010282001,1
421010279021,1
421010334004,1
421010377002,1
421010325004,1
421010273003,1
421010345022,1
421010033001,1
421010145001,1
421010242004,1
421010353021,1
421010307001,1
421010238004,1
421010301001,1
421010100001,1
421010285001,1
421010122031,1
421010119002,1
421010346001,1
421010119004,1
421010373003,1
421010330004,1
421010083022,1
421010178007,1
421010270002,1
421010356022,1
421010257001,1
421010066004,1
421010243001,1
421010054001,1
421010151021,1
421010104003,1
421010152002,1
421010188007,1
421010086011,1
421010362011,1
421010243002,1
421010300007,1
421010142002,1
421010201021,1
421010179004,1
421010268001,1
421010301002,1
421010261003,1
421010036003,1
421010218003,1
421010201013,1
421010254002,1
421010305011,1
421010067005,1
421010056001,1
421010357012,1
421010122012,1
421010323003,1
421010141001,1
421010106002,1
421010321001,1
421010004011,1
421010206001,1
421010208001,1
421010151012,1
421010337011,1
421010389001,1
421010169023,1
421010333003,1
421010105002,1
421010239001,1
421010280001,1
421010063004,1
421010200002,1
421010179002,1
421010293002,1
421010098011,1
421010188001,1
421010121001,1
421010139002,1
421010165003,1
421010114005,1
421010278002,1
421010107004,1
421010188003,1
421010294002,1
421010246002,1
421010152004,1
421010302001,1
421010278004,1
421010348021,1
421010037013,1
421010293001,1
421010347021,1
421010300006,1
421010389003,1
421010085007,1
421010254003,1
421010309003,1
421010242002,1
421010252004,1
421010005001,1
421010243003,1
421010349004,1
421010298005,1
421010103001,1
421010299001,1
421010203002,1
421010357011,1
421010063001,1
421010289023,1
421010086022,1
421010238002,1
421010361001,1
421010188005,1
421010239002,1
421010147001,1
421010055003,1
421010173002,1
421010237003,1
421010202006,1
421010305013,1
421010313004,1
421010067006,1
421010280002,1
421010140001,1
421010329002,1
421010094004,1
421010177012,1
421010201011,1
421010067004,1
421010329004,1
421010259001,1
421010252007,1
421010345011,1
421010032006,1
421010312001,1
421010084002,1
421010188004,1
421010153004,1
421010284002,1
421010167023,1
421010363022,1
421010313002,1
421010331021,1
421010169013,1
421019800001,1
421010218001,1
421010073001,1
421010178003,1
421010276001,1
421019803001,1
421010302004,1
421010361003,1
421010065006,1
421010066003,1
421010216002,1
421010366001,1
421010365012,1
421010178002,1
421010153003,1
421010300004,1
421010268002,1
421010258001,1
421010166001,1
421010190004,1
421010312003,1
421010064003,1
421010325003,1
421010161002,0
421010192004,0
421010314022,1
421010107002,0
421010302003,0
421010174002,0
421010114001,1
421010329001,0
421010349003,0
421010177011,0
421010085002,0
421010338002,0
421010095004,0
421010192001,0
421010339002,0
421010147002,0
421010312002,0
421010033003,0
421010244003,0
421010064001,0
421010094002,0
421010289011,0
