GEOID,year_evictions,eviction-filings,evictions,low-flag,imputed,subbed,evictions_t-1,evictions_t-2,evictions_t-5,year_features,crime_count,violations_count,total_population,total_households,total_renter_households,renter_occupied_household_size,median_gross_rent,median_household_income,units,occupied_units,vacant_units,for_rent_units,num_af_am_alone,num_hisp,black_alone_owner_occupied,num_with_high_school_degree,num_with_ged,num_unemployed
421010003001,2013,9.0,2.0,0,0,1,5.0,3.0,6.0,2012.0,535.0,,1015.0,384.0,372.0,1.69,1988,76354,399.0,384.0,372.0,0.0,135.0,118.0,0.0,36.0,0.0,4.0
421010003001,2014,12.0,5.0,0,0,1,2.0,5.0,3.0,2013.0,571.0,,1120.0,384.0,373.0,2.09,2001.0,76250.0,410.0,384.0,373.0,0.0,96.0,180.0,0.0,39.0,0.0,6.0
421010003001,2015,4.0,0.0,0,0,1,5.0,2.0,5.0,2014.0,554.0,,938.0,369.0,359.0,2.02,2001.0,91250.0,393.0,369.0,359.0,0.0,73.0,156.0,0.0,31.0,0.0,34.0
421010003001,2016,8.0,3.0,0,0,1,0.0,5.0,3.0,2015.0,543.0,,802.0,342.0,332.0,1.92,1973.0,91641.0,390.0,342.0,332.0,24.0,38.0,106.0,0.0,14.0,0.0,35.0
421010003002,2010,13.0,8.0,0,0,1,9.0,5.0,4.0,2009.0,,,2053.0,259.0,259.0,.,1219,64375,259.0,259.0,259.0,0.0,328.0,24.0,0.0,,,
421010003002,2011,15.0,5.0,0,0,1,8.0,9.0,6.0,2010.0,,,2211.0,1393.0,842.0,1.53,1227,51906,1599.0,1393.0,842.0,60.0,145.0,254.0,30.0,,,
421010003002,2012,17.0,7.0,0,0,1,5.0,8.0,4.0,2011.0,182.0,,2311.0,1380.0,899.0,1.56,1514,72321,1642.0,1380.0,899.0,100.0,111.0,295.0,0.0,,,20.0
421010003002,2013,22.0,8.0,0,0,1,7.0,5.0,5.0,2012.0,201.0,,2494.0,1470.0,1026.0,1.60,1741,66524,1627.0,1470.0,1026.0,32.0,136.0,295.0,0.0,210.0,22.0,17.0
421010003002,2014,15.0,9.0,0,0,1,8.0,7.0,9.0,2013.0,122.0,,2278.0,1384.0,948.0,1.46,1713.0,71250.0,1591.0,1384.0,948.0,60.0,119.0,158.0,0.0,147.0,14.0,28.0
421010003002,2015,14.0,5.0,0,0,1,9.0,8.0,8.0,2014.0,130.0,,2500.0,1366.0,945.0,1.63,1895.0,76842.0,1527.0,1366.0,945.0,55.0,106.0,242.0,0.0,189.0,23.0,43.0
