,year,GEOID,crime_count
232,2011,421010066002,148
233,2011,421010066003,343
234,2011,421010066004,589
235,2011,421010067001,108
236,2011,421010067002,74
237,2011,421010067003,116
238,2011,421010067004,302
239,2011,421010067005,307
240,2011,421010067006,115
241,2011,421010067007,178
242,2011,421010069001,175
243,2011,421010069002,106
244,2011,421010069003,99
245,2011,421010070001,114
246,2011,421010070002,97
247,2011,421010070003,249
248,2011,421010070004,75
249,2011,421010070005,138
250,2011,421010071011,196
251,2011,421010071012,187
252,2011,421010071013,224
253,2011,421010071021,140
254,2011,421010071022,196
255,2011,421010071023,132
256,2011,421010071024,132
257,2011,421010071025,135
258,2011,421010072001,104
259,2011,421010072002,59
260,2011,421010072003,41
261,2011,421010072004,82
262,2011,421010072005,133
263,2011,421010072006,148
264,2011,421010073001,160
265,2011,421010073002,92
266,2011,421010073003,79
267,2011,421010073004,156
268,2011,421010074001,59
269,2011,421010074002,117
270,2011,421010074003,108
271,2011,421010074004,272
272,2011,421010074005,132
273,2011,421010077001,107
274,2011,421010077002,38
275,2011,421010078001,71
276,2011,421010078002,53
277,2011,421010078003,55
278,2011,421010078004,62
279,2011,421010078005,75
280,2011,421010079001,65
281,2011,421010079002,69
282,2011,421010079003,118
283,2011,421010079004,77
284,2011,421010080001,103
285,2011,421010080002,99
286,2011,421010080003,130
287,2011,421010080004,197
288,2011,421010081011,129
289,2011,421010081012,165
290,2011,421010081013,87
291,2011,421010081021,91
292,2011,421010081022,89
293,2011,421010081023,69
294,2011,421010081024,171
295,2011,421010081025,197
296,2011,421010082001,113
297,2011,421010082002,99
298,2011,421010082003,159
299,2011,421010082004,49
300,2011,421010082005,99
301,2011,421010082006,80
302,2011,421010082007,47
303,2011,421010083011,139
304,2011,421010083012,123
305,2011,421010083013,95
306,2011,421010083021,119
307,2011,421010083022,335
308,2011,421010083023,183
309,2011,421010083024,107
310,2011,421010084001,107
311,2011,421010084002,99
312,2011,421010084003,67
313,2011,421010084004,220
314,2011,421010084005,99
315,2011,421010084006,139
316,2011,421010085001,153
317,2011,421010085002,90
318,2011,421010085003,86
319,2011,421010085004,162
320,2011,421010085005,257
321,2011,421010085006,181
322,2011,421010085007,275
323,2011,421010086011,129
324,2011,421010086012,132
325,2011,421010086021,244
326,2011,421010086022,177
327,2011,421010086023,110
328,2011,421010087011,43
329,2011,421010087012,90
330,2011,421010087013,91
331,2011,421010087021,155
332,2011,421010087022,54
333,2011,421010088011,98
334,2011,421010088012,46
335,2011,421010088021,52
336,2011,421010088022,164
337,2011,421010088023,243
338,2011,421010088024,83
339,2011,421010090001,39
340,2011,421010090002,65
341,2011,421010090003,99
342,2011,421010090004,135
343,2011,421010091001,65
344,2011,421010091002,184
345,2011,421010091003,119
346,2011,421010092001,470
347,2011,421010092002,211
348,2011,421010093001,72
349,2011,421010093002,77
350,2011,421010093003,99
351,2011,421010093004,568
352,2011,421010093005,195
353,2011,421010094001,126
354,2011,421010094002,209
355,2011,421010094003,135
356,2011,421010094004,212
357,2011,421010095001,120
358,2011,421010095002,87
359,2011,421010095003,378
360,2011,421010095004,186
361,2011,421010096001,251
362,2011,421010096002,278
363,2011,421010096003,138
364,2011,421010096004,100
365,2011,421010096005,119
366,2011,421010098011,59
367,2011,421010098012,135
368,2011,421010098021,114
369,2011,421010098022,114
370,2011,421010098023,109
371,2011,421010100001,191
372,2011,421010100002,55
373,2011,421010100003,77
374,2011,421010100004,143
375,2011,421010101001,124
376,2011,421010101002,199
377,2011,421010101003,95
378,2011,421010101004,129
379,2011,421010101005,102
380,2011,421010101006,122
381,2011,421010101007,88
382,2011,421010102001,114
383,2011,421010102002,376
384,2011,421010102003,199
385,2011,421010103001,386
386,2011,421010103002,244
387,2011,421010104001,93
388,2011,421010104002,102
389,2011,421010104003,231
390,2011,421010104004,140
391,2011,421010105001,45
392,2011,421010105002,278
393,2011,421010105003,186
394,2011,421010106001,124
395,2011,421010106002,240
396,2011,421010107001,66
397,2011,421010107002,456
398,2011,421010107003,133
399,2011,421010107004,159
400,2011,421010108001,70
401,2011,421010108002,140
402,2011,421010108003,151
403,2011,421010108004,99
404,2011,421010108005,123
405,2011,421010109001,116
406,2011,421010109002,65
407,2011,421010109003,101
408,2011,421010110001,86
409,2011,421010110002,90
410,2011,421010110003,146
411,2011,421010110004,135
412,2011,421010111001,253
413,2011,421010111002,120
414,2011,421010111003,203
415,2011,421010111004,333
416,2011,421010111005,263
417,2011,421010112001,58
418,2011,421010112002,119
419,2011,421010112003,92
420,2011,421010112004,110
421,2011,421010112005,90
422,2011,421010112006,111
423,2011,421010112007,126
424,2011,421010113001,151
425,2011,421010113002,212
426,2011,421010113003,114
427,2011,421010114001,211
428,2011,421010114002,93
429,2011,421010114003,128
430,2011,421010114004,108
431,2011,421010114005,146
432,2011,421010114006,134
433,2011,421010115001,52
434,2011,421010115002,119
435,2011,421010115003,119
436,2011,421010115004,87
437,2011,421010117001,135
438,2011,421010118001,43
439,2011,421010118002,92
440,2011,421010118003,205
441,2011,421010118004,53
442,2011,421010118005,145
443,2011,421010118006,73
444,2011,421010119001,105
445,2011,421010119002,134
446,2011,421010119003,145
447,2011,421010119004,53
448,2011,421010119005,28
449,2011,421010120001,43
450,2011,421010120002,77
451,2011,421010121001,83
452,2011,421010121002,78
453,2011,421010122011,28
454,2011,421010122012,45
455,2011,421010122031,193
456,2011,421010122041,48
457,2011,421010122042,119
458,2011,421010125001,263
459,2011,421010125002,173
460,2011,421010125003,200
461,2011,421010131001,102
462,2011,421010131002,115
463,2011,421010132001,93
464,2011,421010132002,307
465,2011,421010133001,324
466,2011,421010133002,420
467,2011,421010134011,83
468,2011,421010134012,105
469,2011,421010134021,105
470,2011,421010134022,82
471,2011,421010134023,129
472,2011,421010135001,78
473,2011,421010135002,79
474,2011,421010135003,40
475,2011,421010135004,226
476,2011,421010136011,65
477,2011,421010136012,63
478,2011,421010136021,41
479,2011,421010136022,68
480,2011,421010136023,76
481,2011,421010136024,35
482,2011,421010137001,72
483,2011,421010137002,143
484,2011,421010137003,82
485,2011,421010137004,127
486,2011,421010137005,110
487,2011,421010138001,162
488,2011,421010138002,251
489,2011,421010139001,198
490,2011,421010139002,230
491,2011,421010139003,98
492,2011,421010140001,548
493,2011,421010140002,120
494,2011,421010140003,204
495,2011,421010141001,375
496,2011,421010141002,256
497,2011,421010142001,70
498,2011,421010142002,551
499,2011,421010143001,381
500,2011,421010143002,57
501,2011,421010144001,49
502,2011,421010144002,295
503,2011,421010144003,80
504,2011,421010145001,165
505,2011,421010145002,102
506,2011,421010146001,294
507,2011,421010146002,42
508,2011,421010146003,57
509,2011,421010147001,254
510,2011,421010147002,612
511,2011,421010148001,209
512,2011,421010149001,225
513,2011,421010149002,68
514,2011,421010149003,134
515,2011,421010149004,87
516,2011,421010149005,60
517,2011,421010149006,71
518,2011,421010151011,127
519,2011,421010151012,171
520,2011,421010151021,256
521,2011,421010151022,158
522,2011,421010151023,218
523,2011,421010152001,139
524,2011,421010152002,426
525,2011,421010152003,140
526,2011,421010152004,222
527,2011,421010152005,70
528,2011,421010153001,211
529,2011,421010153002,214
530,2011,421010153003,256
531,2011,421010153004,492
532,2011,421010156001,104
533,2011,421010156002,207
534,2011,421010157001,119
535,2011,421010157002,80
536,2011,421010157003,206
537,2011,421010158001,104
538,2011,421010158002,74
539,2011,421010158003,140
540,2011,421010158004,65
541,2011,421010158005,89
542,2011,421010158006,72
543,2011,421010160001,121
544,2011,421010160002,89
545,2011,421010160003,234
546,2011,421010160004,101
547,2011,421010160005,109
548,2011,421010160006,228
549,2011,421010160007,95
550,2011,421010161001,406
551,2011,421010161002,271
552,2011,421010161003,151
553,2011,421010161004,166
554,2011,421010162001,124
555,2011,421010162002,132
556,2011,421010162003,60
557,2011,421010163001,296
558,2011,421010163002,243
559,2011,421010163003,80
560,2011,421010163004,245
561,2011,421010164001,323
562,2011,421010164002,137
563,2011,421010164003,175
564,2011,421010164004,237
565,2011,421010165001,101
566,2011,421010165002,105
567,2011,421010165003,334
568,2011,421010166001,241
569,2011,421010166002,128
570,2011,421010167011,213
571,2011,421010167012,130
572,2011,421010167013,271
573,2011,421010167021,118
574,2011,421010167022,120
575,2011,421010167023,261
576,2011,421010167024,190
577,2011,421010168001,130
578,2011,421010168002,57
579,2011,421010168003,126
580,2011,421010168004,94
581,2011,421010168005,70
582,2011,421010168006,170
583,2011,421010169011,218
584,2011,421010169012,148
585,2011,421010169013,273
586,2011,421010169021,227
587,2011,421010169022,168
588,2011,421010169023,220
589,2011,421010169024,147
590,2011,421010170001,92
591,2011,421010170002,111
592,2011,421010170003,63
593,2011,421010171001,68
594,2011,421010171002,98
595,2011,421010171003,183
596,2011,421010171004,155
597,2011,421010172011,158
598,2011,421010172012,185
599,2011,421010172013,185
600,2011,421010172021,142
601,2011,421010172022,164
602,2011,421010172023,104
603,2011,421010172024,152
604,2011,421010173001,105
605,2011,421010173002,563
606,2011,421010174001,231
607,2011,421010174002,277
608,2011,421010175001,169
609,2011,421010175002,173
610,2011,421010175003,183
611,2011,421010175004,132
612,2011,421010175005,245
613,2011,421010175006,262
614,2011,421010176011,158
615,2011,421010176012,159
616,2011,421010176013,697
617,2011,421010176014,635
618,2011,421010176015,201
619,2011,421010176021,344
620,2011,421010176022,218
621,2011,421010176023,275
622,2011,421010177011,358
623,2011,421010177012,472
624,2011,421010177013,181
625,2011,421010177021,677
626,2011,421010177022,528
627,2011,421010177023,251
628,2011,421010177024,271
629,2011,421010177025,241
630,2011,421010178001,214
631,2011,421010178002,142
632,2011,421010178003,144
633,2011,421010178004,143
634,2011,421010178005,333
635,2011,421010178006,200
636,2011,421010178007,306
637,2011,421010179001,177
638,2011,421010179002,181
639,2011,421010179003,98
640,2011,421010179004,282
641,2011,421010179005,224
642,2011,421010180011,142
643,2011,421010180012,89
644,2011,421010180013,97
645,2011,421010180021,123
646,2011,421010180022,105
647,2011,421010180023,185
648,2011,421010180024,78
649,2011,421010183001,70
650,2011,421010183002,65
651,2011,421010183003,149
652,2011,421010183004,59
653,2011,421010184001,51
654,2011,421010184002,152
655,2011,421010188001,188
656,2011,421010188002,111
657,2011,421010188003,193
658,2011,421010188004,151
659,2011,421010188005,213
660,2011,421010188006,127
661,2011,421010188007,264
662,2011,421010190001,159
663,2011,421010190002,118
664,2011,421010190003,136
665,2011,421010190004,100
666,2011,421010190005,390
667,2011,421010191001,82
668,2011,421010191002,77
