classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
SVR,0.8397343006614842,12.707028699483518,{'C': 0.01},0.8342062323073561,3.5646919501527083,1
SVR,0.873442162875326,9.834625331159705,{'C': 0.1},0.8716836464243796,3.136020620333946,1
DTR,0.84138268803337,12.171750453455076,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.8411902251251714,3.4888035848203143,1
DTR,0.8532100050654114,11.258037669797394,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8531118071546271,3.3552999373822594,1
DTR,0.8288951654022827,13.14083519240044,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8285461826914178,3.6250289919392977,1
DTR,0.8762766041152908,9.505239520958083,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.8759812769554289,3.0830568468580144,1
DTR,0.8806428618517653,9.186735903193613,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.8801369230991302,3.0309628673399502,1
DTR,0.9006027315360338,7.625814810406586,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.9005028949690606,2.761487789291596,1
RFR,0.7603834193133057,18.4519329832109,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7592501313369155,4.295571322095689,1
RFR,0.764611915144947,18.1576926647426,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.7630892043538771,4.261184420409729,1
RFR,0.7689058623549089,17.80091506951901,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.7677442266363752,4.219113066690559,1
RFR,0.7636909052749086,18.242526752106233,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.7619823395387094,4.271127105590073,1
RFR,0.7564638771636317,18.834346438598324,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.7542606275682162,4.339855578080718,1
RFR,0.7480434987166865,19.468565300679757,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.7459857163224034,4.412319718773761,1
RFR,0.6591533912632233,26.348251096639164,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.6562236597764828,5.1330547529360295,1
RFR,0.6817519555219822,24.588083691549432,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.6791892792585157,4.958637281708497,1
RFR,0.684782284839754,24.36718947854026,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.6820713758290367,4.9363133489012085,1
RFR,0.688634578040352,24.04666222104599,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.6862534252227179,4.903739615950871,1
RFR,0.6680656735107526,25.61180666304105,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6658323495992633,5.06081087011173,1
RFR,0.6756780098986939,25.07109942616593,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.6728871766670457,5.007104894663774,1
RFR,0.8400811902323072,12.38904983713327,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8383550317539026,3.5198082102769845,1
RFR,0.8443373957470639,12.088254204061856,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.8422796346246296,3.476816676798168,1
RFR,0.8392813129477986,12.464684264516675,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8373681986413214,3.5305359741145077,1
RFR,0.8421097202341885,12.277639128663308,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8398086525456219,3.5039462222847124,1
RFR,0.824300139505354,13.658351007203079,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.821793943532617,3.6957206343557787,1
RFR,0.8241089435460327,13.697042520808369,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8212891196300305,3.700951569638323,1
RFR,0.7984682548171821,15.644723663636235,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7958769322044625,3.955341156415744,1
RFR,0.792564377591541,16.13885615275058,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.7894297847991103,4.0173195233576555,1
RFR,0.7900454720051346,16.333721818774784,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.7868872932593373,4.04149994665035,1
RFR,0.7891781912859542,16.42954284898069,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.7856370773357144,4.053337248364697,1
