classifier,explained_variance,mean_squared_error,parameters,r2,root_mean_squared_error,split
SVR,0.8395792795462789,12.71770661440008,{'C': 0.01},0.8340669132118392,3.5661893688361643,1
SVR,0.8736191360476651,9.821648011109827,{'C': 0.1},0.8718529667931696,3.13395086290609,1
DTR,0.8447878932015552,11.911727366385803,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",0.84458285201788,3.4513370403925783,1
DTR,0.8204182356374651,13.788551842433703,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",0.8200951603205753,3.713293934289838,1
DTR,0.8345805997946343,12.696142710607438,"{'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.8343482662283859,3.563164704389546,1
DTR,0.9092770403407208,6.955089820359281,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 2}",0.909254116502862,2.637250428070736,1
DTR,0.9104562585526002,6.877869261477047,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.9102616445177266,2.622569210045189,1
DTR,0.8806221329592645,9.170402494511276,"{'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.8803500317202525,3.028267242914878,1
RFR,0.7691426988653245,17.83026950357695,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.7673612274053159,4.222590378378769,1
RFR,0.7559699640649864,18.81374250543133,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.7545294554578693,4.337481124504328,1
RFR,0.764035379144802,18.18307677741934,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.7627580075194524,4.264161907974337,1
RFR,0.7641529330995841,18.19574076402307,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.7625927753394758,4.265646582175212,1
RFR,0.7281603700772182,21.06944009058152,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.7250984523286761,4.590145977044904,1
RFR,0.7540665257468271,18.990410221917813,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.7522243999615249,4.357798781715124,1
RFR,0.6768575132626867,24.901592995368887,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.6750987959585891,4.990149596491961,1
RFR,0.6813975765924436,24.620334083477204,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.6787684952881854,4.961888157090726,1
RFR,0.6692683782403239,25.551600471721326,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.666617884245748,5.054859095140173,1
RFR,0.6920335849075607,23.78660853205325,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.6896464513911589,4.87715168228888,1
RFR,0.6651396460556902,25.88939489165368,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6622105431662073,5.088162231263237,1
RFR,0.6763137837879447,25.012377026158862,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.6736533516852481,5.001237549463019,1
RFR,0.838228473986368,12.578495921316435,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8358832517009764,3.5466175324266973,1
RFR,0.8435953935090031,12.149498110900673,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}",0.8414805604820303,3.485613017949737,1
RFR,0.8330412564766818,13.00545943235749,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8303124852506217,3.606308283044794,1
RFR,0.8403454377531938,12.426374501170827,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8378680416931262,3.525106310619699,1
RFR,0.8086841222548863,14.919134637396496,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8053439871157033,3.862529564598373,1
RFR,0.8225281866588091,13.83768004843787,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8194541646506952,3.7199032310582854,1
RFR,0.7839718685387831,16.778276988218387,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7810870012923967,4.096129513115813,1
RFR,0.7946479812307485,15.963487469649786,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}",0.7917178912789327,3.9954333268933153,1
RFR,0.7810170503923297,17.029322905777178,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.7778115031786937,4.126660018195972,1
RFR,0.7872117644718772,16.552282317643556,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.7840356456056485,4.068449620880607,1
RFR,0.773721253899348,17.674516357845178,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.7693934019971543,4.204107082109728,1
RFR,0.7782056583759736,17.285924652724606,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.7744635159010183,4.157634502060589,1
SVR,0.8414067171159031,14.32590562835392,{'C': 0.01},0.8064923511695148,3.7849578106438546,2
SVR,0.8628377523111115,11.682353075904983,{'C': 0.1},0.8422002255793367,3.417945739169214,2
