split,top_187,top_100
2011,0.9197860962566845,0.84
2012,0.9518716577540107,0.91
2013,0.9518716577540107,0.92
2014,0.9732620320855615,0.87
2015,0.9679144385026738,0.89
2016,0.9411764705882353,0.91
